municipio,cases,deaths,recovered,download_Date,ccaa,codmun,renta_bruta_media_persona,renta_bruta_media_hogar,population,tasa_mor,falle_por_cienmil,IA7,IA14
Ababuj,0,0,0,2021-01-06,Aragón,44001,NA,NA,73,NA,0,NA,NA
Ababuj,NA,NA,,2021-01-13,Aragón,44001,NA,NA,73,NA,NA,NA,NA
Ababuj,1,0,0,2021-01-20,Aragón,44001,NA,NA,73,0,0,NA,1370
Abadiño,317,4,NA,2021-01-06,Euskadi,48001,NA,NA,7599,1.2618296529968454,52.63850506645612,NA,NA
Abadiño,322,5,NA,2021-01-13,Euskadi,48001,NA,NA,7599,1.5527950310559007,65.79813133307015,66,NA
Abadiño,344,5,NA,2021-01-21,Euskadi,48001,NA,NA,7599,1.4534883720930232,65.79813133307015,290,355
Abanto,0,0,0,2021-01-06,Aragón,50001,NA,NA,100,NA,0,NA,NA
Abanto,0,0,0,2021-01-13,Aragón,50001,NA,NA,100,NA,0,0,NA
Abanto,0,0,0,2021-01-20,Aragón,50001,NA,NA,100,NA,0,0,0
Abanto y Ciérvana-Abanto Zierbena,448,10,NA,2021-01-06,Euskadi,48002,NA,NA,9444,2.232142857142857,105.88733587462939,NA,NA
Abanto y Ciérvana-Abanto Zierbena,465,11,NA,2021-01-13,Euskadi,48002,NA,NA,9444,2.3655913978494625,116.47606946209234,180,NA
Abanto y Ciérvana-Abanto Zierbena,507,12,NA,2021-01-21,Euskadi,48002,NA,NA,9444,2.366863905325444,127.06480304955528,445,625
Abejuela,0,0,0,2021-01-06,Aragón,44002,NA,NA,48,NA,0,NA,NA
Abejuela,0,0,0,2021-01-13,Aragón,44002,NA,NA,48,NA,0,0,NA
Abejuela,0,0,0,2021-01-20,Aragón,44002,NA,NA,48,NA,0,0,0
Abella de la Conca,0,0,NA,2021-01-06,Cataluña,25001,12008,26145,179,NA,0,NA,NA
Abella de la Conca,0,0,NA,2021-01-13,Cataluña,25001,12008,26145,179,NA,0,0,NA
Abella de la Conca,0,0,NA,2021-01-20,Cataluña,25001,12008,26145,179,NA,0,0,0
Abiego,7,0,7,2021-01-06,Aragón,22001,15352,36538,248,0,0,NA,NA
Abiego,7,0,7,2021-01-13,Aragón,22001,15352,36538,248,0,0,0,NA
Abiego,8,0,7,2021-01-20,Aragón,22001,15352,36538,248,0,0,403,403
Abizanda,14,0,12,2021-01-06,Aragón,22002,14049,33484,150,0,0,NA,NA
Abizanda,14,0,12,2021-01-13,Aragón,22002,14049,33484,150,0,0,0,NA
Abizanda,14,0,12,2021-01-20,Aragón,22002,14049,33484,150,0,0,0,0
Abla,18,0,16,2021-01-06,Andalucia,04001,10317,22723,1249,0,0,NA,NA
Abla,24,0,16,2021-01-13,Andalucia,04001,10317,22723,1249,0,0,480,NA
Abla,32,0,16,2021-01-20,Andalucia,04001,10317,22723,1249,0,0,641,1121
